Colour Number,Colour Name,NCS Number,R,G,B,Hex
2024,LIGHT MOCHA,S3010-Y50R ,191,167,149,#BFA795
12120,DESERT PINK,3215-Y43R ,191,159,134,#BF9F86
5054,TURQUOISE TREASURE,0520-B48G ,190,231,226,#BEE7E2
5050,,0519-B01G ,190,225,233,#BEE1E9
6237,TRANSPARENT GEM,S1015-B50G ,190,219,215,#BEDBD7
12078,COMFORT GREY,2703-Y19R ,190,185,175,#BEB9AF
1283,DHAHAB,2806-Y22R ,190,180,161,#BEB4A1
10961,RAW CANVAS,3009-Y14R ,190,175,151,#BEAF97
1351,KAMELBRUN,S3010-Y30R ,190,168,146,#BEA892
5264,,S1510-B ,189,206,209,#BDCED1
9911,PLATINUM,S2500-N ,189,189,186,#BDBDBA
2011,ANTIQUE BRASS,S3020-Y60R ,189,150,131,#BD9683
1159,,3049-Y22R ,189,134,73,#BD8649
6253,SEA MIST,S1510-B50G ,188,208,204,#BCD0CC
4678,,2208-R65B ,188,192,199,#BCC0C7
1757,COFFEE BUTTER,S3010-Y40R ,188,164,144,#BCA490
710,BLUE SKY,1117-R83B ,187,208,220,#BBD0DC
4680,,1318-R78B ,187,206,222,#BBCEDE
5452,NORDIC BREEZE,2107-B01G ,187,198,200,#BBC6C8
2107,ETOILE,2804-Y83R ,187,180,175,#BBB4AF
10342,SABLE STONE,2903-Y30R ,187,180,168,#BBB4A8
20186,LAVENDER TOUCH,2904-Y74R ,187,178,173,#BBB2AD
1938,TEA LEAVES,S3010-Y10R ,187,171,146,#BBAB92
20217,MUTED CORAL,3234-Y69R ,187,125,105,#BB7D69
1143,MISTY GREY,2903-Y49R ,186,179,170,#BAB3AA
